gene,role
TRIM28,oncogene
HOXD9,oncogene
MIR502,TSG
TRIM24,both
HOTAIR,oncogene
TRIM27,oncogene
CREB1,oncogene
PRMT5,oncogene
PER2,TSG
PER1,TSG
TRIT1,TSG
BRD4,oncogene
BRD7,TSG
BRD3,oncogene
DNAJA3,TSG
MIR140,TSG
PTPN13,TSG
MIR155,both
PTPN11,both
MIR504,TSG
MIR150,both
KAT5,TSG
MIR152,TSG
KAT7,oncogene
GALR2,oncogene
GALR1,TSG
CCDC28A,oncogene
RAD51C,TSG
DMD,TSG
FAM123B,TSG
RRAS2,oncogene
GAB2,oncogene
HIF1A,both
ARHGAP5,oncogene
NDRG2,TSG
NDRG4,TSG
PPM1D,oncogene
SRSF1,oncogene
CHD1L,oncogene
SRSF3,oncogene
SRSF2,oncogene
EGR2,TSG
USP44,TSG
Dec-01,TSG
EGR1,TSG
VIL1,TSG
PPP6C,TSG
MSMB,TSG
CHEK2,TSG
CHEK1,TSG
CDK6,both
PAX5,both
PAX4,both
PAX6,TSG
PAX3,oncogene
PAX2,oncogene
MIR135A2,TSG
PTPN2,TSG
PTPN1,TSG
MIR135A1,both
PAX8,oncogene
HOXC11,oncogene
DDR2,both
MYO1A,TSG
PLCE1,TSG
VTRNA2-1,TSG
ADAMTS18,TSG
ADPRH,TSG
CD79B,oncogene
BCR,both
CD79A,oncogene
PTK6,both
HOXA13,oncogene
HOXA11,both
DSG3,oncogene
SRC,oncogene
SNORD50A,TSG
ERCC4,TSG
PTP4A2,oncogene
GAEC1,oncogene
PRKAA1,TSG
LGALS7,TSG
MYC,oncogene
SFRP2,TSG
SFRP1,TSG
AKIRIN2,oncogene
KCNJ5,oncogene
SFRP5,TSG
MIR526B,oncogene
MIR181B2,TSG
MIR181B1,TSG
CAMK1D,oncogene
SNORA59A,oncogene
FOXO3,both
FOXO1,both
DDIT3,oncogene
FOXO6,TSG
FOXO4,both
LOX,TSG
ALDH1A1,oncogene
ALDH1A2,TSG
PRICKLE1,TSG
FRAT1,oncogene
TAC1,oncogene
SPAG9,oncogene
RPL23,oncogene
RPL22,TSG
SPINK7,TSG
EYA4,TSG
PLAG1,oncogene
SMARCB1,TSG
MIR375,TSG
SERTAD2,oncogene
PIGU,oncogene
EPCAM,oncogene
TAGLN,TSG
OLR1,oncogene
PPP1CA,TSG
CEBPD,TSG
KANK1,TSG
VEZT,TSG
ALPL,TSG
MIR193A,TSG
KLK10,TSG
ZFAND4,oncogene
FBP1,TSG
MAFA,oncogene
MAFB,oncogene
CDK2AP1,TSG
ZYX,TSG
NTRK1,both
NTRK3,both
SLC34A2,TSG
PTP4A1,oncogene
ARHGAP26,TSG
PTP4A3,oncogene
EVI5,oncogene
ARHGAP29,TSG
KRAS,oncogene
BLNK,TSG
CD28,oncogene
CD24,oncogene
MIR451A,TSG
RBP1,TSG
SRGAP3,TSG
ALL1,oncogene
MIR708,both
PA2G4,oncogene
UBR5,TSG
URI1,oncogene
BMP7,oncogene
BMP4,TSG
SOCS1,TSG
BMP2,TSG
SOCS3,TSG
PPP2CA,TSG
EEF1D,oncogene
PPP2CB,TSG
ADAM9,oncogene
NR1I2,TSG
FAT1,TSG
FAT4,TSG
AKAP12,TSG
MIR218-2,TSG
MIR218-1,TSG
RASSF8,TSG
TRIM33,TSG
TRIM32,both
TRIM31,TSG
RPL5,TSG
RASSF5,TSG
RASSF4,TSG
TRIM35,TSG
FEN1,TSG
SRPX,TSG
ING4,TSG
CHD1,TSG
MIR149,both
CHD2,TSG
CHD5,TSG
CHD4,oncogene
MIR143,TSG
WISP3,TSG
MIR141,TSG
WISP1,oncogene
MNT,TSG
MIR633,oncogene
HTRA1,TSG
HTRA3,TSG
TTC4,TSG
CDC25C,oncogene
MN1,oncogene
CDC25A,oncogene
CCNC,TSG
RNF43,both
DCUN1D1,oncogene
RHOH,TSG
RHOC,oncogene
RHOB,TSG
RHOA,both
CAPG,both
PBK,oncogene
PRDM16,oncogene
PRDM14,oncogene
PRDM15,oncogene
LRIG3,TSG
PRDM13,oncogene
PRDM10,oncogene
PRDM11,TSG
MPL,oncogene
HNF4A,TSG
PRODH,TSG
SNCG,oncogene
MTSS1,TSG
BATF2,TSG
IL17RD,TSG
A1CF,oncogene
MCPH1,TSG
FOXR1,oncogene
MIRLET7A3,TSG
POT1,TSG
MAPK10,TSG
HPGD,TSG
NCOR1,TSG
FZD2,oncogene
BTG4,TSG
BTG3,TSG
BTG2,TSG
BTG1,TSG
TEC,oncogene
MIR454,oncogene
NBN,TSG
NECTIN4,oncogene
TBRG1,TSG
NFKB1,TSG
NFKB2,both
TES,TSG
RASSF3,TSG
APAF1,TSG
RASSF2,TSG
SIAH1,TSG
ESRRB,TSG
ZFP36L2,TSG
S100A4,oncogene
PHLPP2,TSG
PHLPP1,TSG
PTTG2,oncogene
MIR148A,TSG
PKD1,TSG
JDP2,TSG
IGFALS,TSG
CYB5R2,TSG
CTGF,both
PIAS1,TSG
PRKACA,oncogene
HIVEP1,TSG
HIVEP3,TSG
ACVR1,oncogene
TALDO1,oncogene
JUNB,oncogene
JUND,oncogene
TLX1,oncogene
TDGF1,TSG
GNAT1,TSG
TLX3,oncogene
RMI2,TSG
BCL2L11,TSG
BCL2L12,oncogene
MLH3,TSG
MLH1,TSG
PGRMC2,TSG
TRAF6,oncogene
TRAF7,TSG
TMPRSS2,oncogene
TMPRSS6,TSG
CYGB,both
EVI2A,oncogene
PCDH8,TSG
PCDH9,TSG
DIS3,oncogene
GRIN2A,TSG
GNA12,oncogene
GNA13,oncogene
GNA11,oncogene
SDHA,TSG
SDHC,TSG
SDHB,TSG
ATF1,oncogene
SDHD,TSG
ATF3,both
SH2B3,TSG
ERRFI1,TSG
SMARCC1,TSG
BUB1B,TSG
IL6ST,oncogene
MIR145,TSG
DLG1,TSG
LHX1,oncogene
LHX4,TSG
LHX6,TSG
CDC73,TSG
TKTL1,oncogene
PPP2R4,TSG
MIR374A,oncogene
ZMYM2,oncogene
ZMYM3,TSG
IGF1R,oncogene
IFNG,oncogene
MIR138-2,TSG
MTUS1,TSG
MACROD1,oncogene
LMNTD1,TSG
CXCL10,TSG
CXCL12,TSG
CXCL14,TSG
UBE4B,TSG
AKAP9,oncogene
YBX1,oncogene
IL7R,oncogene
SIRT3,TSG
NUAK1,TSG
NUAK2,oncogene
RAB7A,TSG
HSP90B1,TSG
ADAMTS9-AS2,TSG
PTGDR,TSG
MIR941-1,TSG
CHIC1,oncogene
WDR48,TSG
SIRT4,TSG
MIR1908,oncogene
MIA2,TSG
JAK2,oncogene
H3F3B,oncogene
H3F3A,oncogene
JAK1,both
GRM1,oncogene
GRM3,oncogene
GUCY2C,TSG
CXXC5,TSG
CHUK,TSG
DSP,TSG
PPARG,both
PPARA,TSG
BRF2,oncogene
ING5,TSG
THBD,TSG
BRF1,TSG
ING1,TSG
ING2,TSG
DCDC2,TSG
CSNK1A1,TSG
RING1,oncogene
DCUN1D3,TSG
BHLHE41,TSG
PARK7,both
MIR191,oncogene
MIR192,TSG
VSNL1,TSG
MIR198,TSG
RAP1A,both
WFDC1,TSG
MIR16-1,both
GADD45G,TSG
NCOA2,oncogene
NCOA3,oncogene
MIR511,TSG
NCOA4,both
NCOA5,TSG
PRAME,oncogene
DDB2,both
MIR99A,TSG
LIMD1,TSG
ABCG2,TSG
SS18,oncogene
PRDM12,oncogene
HOTS,TSG
TSPY1,oncogene
LRIG1,TSG
LMO1,oncogene
LMO2,oncogene
LMO3,oncogene
LMO4,oncogene
APOBEC3B,both
MIR19A,oncogene
PBRM1,TSG
MME,TSG
MIR99AHG,oncogene
MIR509-3,TSG
CTTN,oncogene
BAX,both
ERF,TSG
ERG,oncogene
CBLL1,oncogene
EPS8,oncogene
PRKCDBP,TSG
PARM1,oncogene
GFI1B,oncogene
MYOD1,oncogene
DDX10,TSG
CDK12,TSG
GJB2,TSG
CDK14,oncogene
KLF6,both
KLF5,both
KLF4,both
RBL2,TSG
KLF2,oncogene
KLF8,oncogene
MCTS1,oncogene
FAM189B,oncogene
MDC1,TSG
P2RY8,oncogene
MIR134,TSG
HOXB13,TSG
MIR133A1,TSG
TFG,oncogene
MAP3K13,both
CTNNBIP1,TSG
PPP3CC,TSG
TGM3,both
STYK1,oncogene
MIR329-1,TSG
IKBKB,oncogene
IKBKE,oncogene
RARA,oncogene
EIF3I,oncogene
RARB,TSG
PEA15,TSG
EIF3E,both
EIF3F,TSG
ROR2,TSG
FADD,TSG
ARMC10,TSG
CCNL1,oncogene
WT1,both
CDKN2A,TSG
NAAA,oncogene
SSX2B,oncogene
TSC22D1,TSG
XAF1,TSG
BAZ1A,TSG
TPR,oncogene
CCDC154,TSG
HRG,TSG
SNAI1,oncogene
PTTG1IP,oncogene
SYT1,oncogene
ECHS1,oncogene
DND1,TSG
MIR219A1,TSG
RHO,oncogene
PLAGL2,oncogene
PLAGL1,TSG
NFATC2,both
TBC1D3C,oncogene
TNFAIP8L2,TSG
FUBP1,both
CCAR1,TSG
CCAR2,TSG
MTDH,oncogene
MADD,TSG
NANOGP8,oncogene
NCOR2,TSG
CEACAM1,TSG
EN2,oncogene
CEACAM6,oncogene
TACSTD2,oncogene
PPP1R14A,oncogene
IGFBPL1,TSG
EPAS1,both
PCDH10,TSG
PCDH17,TSG
VPS53,TSG
EEF1E1,TSG
CREBBP,both
MIR29C,TSG
MIR29A,TSG
ATM,TSG
SCYL1,TSG
MIR615,TSG
ATR,TSG
BRIP1,TSG
FLT4,oncogene
PWAR4,TSG
FLT3,both
SET,oncogene
SKP2,both
NEURL1,TSG
DNAJB1,TSG
DNAJB4,TSG
FANCG,TSG
FANCF,TSG
FANCE,TSG
FANCC,TSG
FANCA,TSG
HAS1,oncogene
MIR18A,both
KISS1,TSG
FRK,TSG
CARS,TSG
MIR185,TSG
HNRNPA1,oncogene
MIR183,both
MIR182,both
CLU,TSG
KNSTRN,oncogene
MIR92A1,oncogene
MIR507,oncogene
MIR506,oncogene
MIR505,TSG
LLGL1,TSG
IRS4,both
MIR508,TSG
IRS2,oncogene
CDK1,oncogene
CDK2,TSG
CDK4,oncogene
MIR296,TSG
HOXA1,oncogene
CDK8,oncogene
HOXA9,both
MIR663A,oncogene
PTK7,oncogene
LCN2,oncogene
FAM188A,TSG
MSH2,TSG
SF3B1,oncogene
PRKAA2,TSG
MSH6,TSG
ALOX15,TSG
MCL1,oncogene
TSHR,oncogene
MIR223,both
RERE,oncogene
INPPL1,oncogene
DDHD2,oncogene
RGL4,oncogene
HSPD1,TSG
DNAJC11,TSG
PRKCI,oncogene
GREM1,both
MIR874,TSG
PRKCA,oncogene
PRKCB,TSG
PRKCE,both
PRKCD,TSG
HIST1H3B,oncogene
PADI2,oncogene
EBF3,TSG
MIR221,oncogene
EBF1,TSG
KRIT1,TSG
KDM8,TSG
ACKR3,oncogene
SCRIB,TSG
TYMS,oncogene
GSTP1,TSG
GPR132,oncogene
FBXO11,TSG
TUSC1,TSG
MIRLET7F1,TSG
MAP3K8,both
MIRLET7F2,TSG
GPX3,TSG
RASSF1,both
MAP3K1,both
MAP3K7,oncogene
MAP3K4,TSG
PROX1,TSG
PLA2G7,TSG
RBMY1A1,oncogene
MARCKS,TSG
MARVELD1,TSG
NUP214,oncogene
SETDB1,oncogene
ERBB2,oncogene
ERBB3,oncogene
ERBB4,both
IDH2,oncogene
IDH1,both
SH3GLB1,TSG
CTSZ,oncogene
RPL10,TSG
RPL11,TSG
FGFR4,oncogene
SETD2,TSG
FGFR2,oncogene
FGFR3,oncogene
FGFR1,oncogene
CXCL1,oncogene
TCL6,oncogene
CXCL3,oncogene
CXCL2,oncogene
NME1,both
SYK,both
SPEN,TSG
LXN,TSG
MIR148B,TSG
RGR,oncogene
EPB41,TSG
PDZK1IP1,oncogene
FBLN2,TSG
DAXX,both
STIL,oncogene
AHNAK,TSG
AFF4,oncogene
AFF3,oncogene
AFF1,oncogene
PTCSC3,TSG
UNC5A,TSG
TINCR,oncogene
UNC5B,TSG
UNC5C,TSG
CUX1,both
RNF144A,TSG
UNC5D,TSG
SFPQ,both
PKNOX1,TSG
TP53,both
GNAQ,oncogene
GNAS,oncogene
UBE2C,oncogene
SAFB2,TSG
SHQ1,TSG
HLTF,TSG
AGFG1,oncogene
MIR7-2,TSG
MIR7-3,TSG
MIR7-1,both
SEC14L2,TSG
ILK,both
GNMT,TSG
DACT1,TSG
SIK1,TSG
RAB22A,oncogene
EPB41L3,TSG
CCDC136,TSG
SALL4,both
SALL2,TSG
WAS,oncogene
ADAM28,oncogene
FAM72A,oncogene
DFNA5,TSG
TBL1XR1,both
LATS2,TSG
WNT3,oncogene
WNT2,oncogene
WNT1,oncogene
PLCD1,TSG
PALB2,TSG
RECK,TSG
BIRC6,oncogene
BIRC5,oncogene
BIRC3,both
BIRC2,oncogene
TTF1,TSG
PINX1,TSG
RUNX1T1,both
RBMS3,TSG
RB1CC1,TSG
SPTBN1,TSG
RCHY1,TSG
KLF10,TSG
TFAP2A,TSG
MIR26A1,TSG
MIR26A2,TSG
OncogeneName,oncogene
DPP4,TSG
NT5C2,oncogene
MIR574,TSG
ANXA1,TSG
ZBTB7A,oncogene
ANXA7,TSG
MSI2,oncogene
MSI1,oncogene
MIR26B,TSG
GLTSCR1,TSG
GLTSCR2,TSG
POU5F1,oncogene
DKK1,TSG
CDKN2B,TSG
MIR575,oncogene
MCM9,TSG
DUSP12,oncogene
PCAT1,oncogene
SQSTM1,oncogene
PCAT5,oncogene
DNPH1,oncogene
RPA1,TSG
HBP1,TSG
MIR409,TSG
MIR203A,TSG
HEPACAM,TSG
SP100,TSG
SSX4,oncogene
SSX2,oncogene
MIR888,TSG
SSX1,oncogene
NRCAM,TSG
MFHAS1,oncogene
ERAS,oncogene
BOC,oncogene
MIR513A2,oncogene
DGCR8,oncogene
MUM1,oncogene
MIR1-1,TSG
DENND2D,TSG
DSC3,TSG
WHSC1L1,both
PHC3,TSG
RNASEL,TSG
DDX3X,TSG
SAFB,TSG
ZNF366,TSG
PRF1,TSG
MGMT,TSG
PMS2,TSG
BRINP1,TSG
BRSK1,TSG
ROBO1,TSG
ROBO2,TSG
H2AFX,TSG
SOD2,TSG
DDX5,oncogene
DDX6,oncogene
BRMS1,TSG
RNF8,TSG
NIT2,TSG
ZNF217,oncogene
VDR,TSG
STMN1,oncogene
AKT3,oncogene
OLFM4,TSG
NFKBIE,TSG
RNH1,TSG
CLTC,TSG
ADRBK2,oncogene
BEX2,TSG
AMER1,TSG
GLIPR1,TSG
TFE3,oncogene
DLX5,oncogene
MYD88,oncogene
ELK4,oncogene
TFEB,oncogene
LMX1B,oncogene
FGF8,oncogene
SART3,oncogene
FGF6,oncogene
FGF5,oncogene
FGF4,oncogene
FGF3,oncogene
VAV1,oncogene
MIR517A,both
VAV3,oncogene
VAV2,oncogene
HOXD13,oncogene
TNFAIP3,TSG
HOXD11,oncogene
MIR28,TSG
LIMA1,TSG
NRBP1,TSG
SMCHD1,TSG
FOXP3,TSG
DEFB1,TSG
STARD13,TSG
DIABLO,TSG
TP63,both
CNR2,oncogene
NANOG,oncogene
MAPK1,oncogene
DUSP9,TSG
DUSP5,TSG
DUSP6,TSG
DUSP1,TSG
HHEX,oncogene
LYL1,oncogene
RBL1,TSG
ELL,both
BCOR,TSG
HEY1,oncogene
CNTN2,oncogene
MIR422A,TSG
WWTR1,oncogene
MIR320A,TSG
STAT5B,both
TMPOP2,oncogene
NKX3-1,TSG
TBC1D15,oncogene
MIR27A,both
MIR27B,TSG
HSPA1A,oncogene
BMP10,TSG
PF4,TSG
MIR101-2,TSG
MIR101-1,TSG
FAM83D,oncogene
LINC-PINT,TSG
NRAS,oncogene
CREB3L1,TSG
CABLES1,TSG
PYCARD,TSG
MIR200C,both
MIR200B,TSG
PANO1,TSG
DNMT3B,TSG
DNMT3A,both
RAD21,both
ADGRF1,oncogene
USP12,TSG
MIR302B,TSG
CLTCL1,TSG
SSBP2,TSG
NPM1,both
BCL10,TSG
GPRC5A,TSG
GFI1,oncogene
MXI1,TSG
NEDD4L,TSG
BRAF,oncogene
ZBTB48,TSG
ALOX15B,TSG
MIR30A,TSG
CRKL,oncogene
MEN1,TSG
ACOD1,oncogene
HIPK2,TSG
ANP32D,oncogene
ANP32C,oncogene
ANP32A,TSG
DUSP22,TSG
DUSP26,both
TAT,TSG
TAZ,oncogene
ESPL1,oncogene
MIR30C1,TSG
GeneSymbol,TSG
THY1,TSG
ARHGEF10,TSG
ARHGEF12,TSG
STK11,TSG
THSD1,TSG
PCDHGC3,TSG
MUC16,oncogene
CNDP2,TSG
SGK1,oncogene
AHR,TSG
PTEN,TSG
GADD45GIP1,TSG
ANGPTL4,TSG
MIR212,oncogene
ATMIN,TSG
EIF5A2,oncogene
CTCF,TSG
ELAVL1,oncogene
MMP12,oncogene
CDKN1C,TSG
CDKN1B,both
CDKN1A,both
PDS5B,TSG
MLL3,TSG
MLL2,TSG
MYO18B,TSG
SETBP1,oncogene
EDNRB,TSG
PPP1R1B,TSG
TANK,TSG
MST1,TSG
WWOX,TSG
NF2,TSG
NF1,TSG
TMEM127,TSG
KIF7,TSG
BLM,TSG
PPP1R10,oncogene
HOXC13,oncogene
VEGFA,TSG
BLK,oncogene
SLC39A1,TSG
SLC39A4,TSG
MIR29B1,TSG
PSIP1,oncogene
MIR106B,oncogene
MIR106A,TSG
FBXO31,TSG
FBXO32,TSG
NAB2,TSG
MAP4K1,TSG
PPP2R1A,both
PPP2R1B,TSG
RET,oncogene
PELP1,oncogene
DLK1,TSG
AKAP13,oncogene
REL,oncogene
TSC2,TSG
HINT1,TSG
HTRA2,TSG
TSC1,TSG
NEDD9,oncogene
SPI1,both
NEDD4,both
S100A8,oncogene
MIR378A,TSG
PTTG1,oncogene
S100A7,oncogene
S100A2,TSG
MIR155HG,oncogene
EGLN1,TSG
AIP,TSG
LTF,TSG
LEF1,both
MAP2K2,oncogene
MIR181C,TSG
TP73,both
GLS2,TSG
RBM6,TSG
RBM5,TSG
RBM4,TSG
RBM3,oncogene
ZMYND10,TSG
LAPTM4B,oncogene
ZMYND11,TSG
EGFR,oncogene
CAT,TSG
MIR301A,oncogene
BAP1,TSG
PFN1,TSG
TWIST1,oncogene
TWIST2,TSG
CXCR2,TSG
HNF1A,TSG
PGR,TSG
CXCR4,oncogene
BMI1,oncogene
KDM3B,TSG
MIR645,oncogene
PLEKHO1,TSG
SOX21,TSG
E2F5,oncogene
E2F3,both
E2F2,TSG
E2F1,both
RBMX,TSG
CAMK2N1,TSG
PPP1R13L,oncogene
TUSC7,TSG
RAD17,TSG
CSF3R,oncogene
TUSC2,TSG
MIA,TSG
PTK2B,oncogene
DAB2,TSG
FBLN1,TSG
USP22,oncogene
WNT10A,oncogene
WNT10B,oncogene
ARHGEF5,oncogene
ARHGEF2,oncogene
ADAMTS8,TSG
ARHGEF1,oncogene
CBFB,both
CDH1,both
CDH5,TSG
CDH4,TSG
STRA6,oncogene
MIR544A,oncogene
DFFA,TSG
CENPW,oncogene
PAFAH1B1,TSG
MIR424,TSG
MIR421,oncogene
LIN9,TSG
MIR423,oncogene
UCA1,oncogene
CSF1,oncogene
CSF2,TSG
CSF3,oncogene
SFN,TSG
CYLD,TSG
ACY1,TSG
SYNPO2,TSG
TRIP6,oncogene
WNT7A,TSG
LITAF,TSG
HULC,oncogene
SEC62,oncogene
RRAS,oncogene
TXNIP,TSG
TRIB1,oncogene
TRIB2,oncogene
CYSLTR2,oncogene
ARHGEF10L,TSG
DDX58,TSG
BMF,TSG
ZBTB7C,TSG
CABIN1,oncogene
U2AF1,oncogene
HSPB1,oncogene
MIR130B,oncogene
MIR130A,both
MIR330,oncogene
MT1M,TSG
MIR335,both
MIR338,TSG
MT1F,TSG
MT1G,TSG
ZNF185,TSG
MIR33A,TSG
G0S2,TSG
NUPR1,TSG
NKX2-8,TSG
CCDC6,both
EGLN3,TSG
CSRNP1,TSG
PLA2G16,TSG
HACD4,TSG
MIR1226,TSG
NSD1,oncogene
MIR520C,TSG
MIR34C,TSG
MIR520G,oncogene
MIR10A,TSG
CSF1R,oncogene
SPRY2,both
SPRY4,TSG
GMNN,oncogene
RASSF10,TSG
MRE11A,oncogene
SLX4,TSG
MIR147A,TSG
MYH9,TSG
RANBP9,TSG
FBXO25,TSG
CADM4,TSG
CADM2,TSG
CADM3,TSG
RANBP2,TSG
MACC1,oncogene
RALGDS,oncogene
AIM2,TSG
AGAP2,oncogene
SATB1,oncogene
PACRG,TSG
UHRF1,oncogene
UHRF2,TSG
ARNT,both
KEAP1,TSG
BASP1,TSG
CADM1,TSG
KCNRG,TSG
TGFB1,both
PHACTR4,TSG
PYHIN1,TSG
EZH1,TSG
EZH2,both
CCNB1IP1,TSG
TSLP,TSG
SLC5A8,TSG
IQGAP2,TSG
YWHAZ,oncogene
HDGFRP2,oncogene
YWHAQ,oncogene
RB1,TSG
ETS2,both
ETS1,oncogene
AURKA,oncogene
FCRL4,oncogene
YWHAG,oncogene
YWHAE,TSG
XIST,TSG
MAT2A,TSG
ZBTB4,TSG
NR4A3,both
CARD11,oncogene
NR4A1,TSG
CASC2,TSG
CASC1,TSG
CASC5,TSG
PDCD1LG2,oncogene
CHST11,oncogene
CCNB2,oncogene
CCNB1,oncogene
ABI2,TSG
ABI1,TSG
ROCK1,oncogene
CUL4A,oncogene
TGFBI,TSG
POU2F3,TSG
NUTM1,oncogene
IL24,TSG
TIMP3,TSG
AXL,oncogene
CAV1,both
SFRP4,TSG
TPD52,oncogene
CT45A1,oncogene
ANIB1,oncogene
CBFA2T3,TSG
ZIC2,oncogene
MAPRE1,oncogene
JAK3,oncogene
BRCA1,TSG
BRCA2,TSG
AQP1,oncogene
WNK2,TSG
ZIC1,TSG
AHRR,TSG
NR2C2,TSG
MIR125B1,both
MIR125B2,TSG
PATZ1,oncogene
USP33,TSG
RBBP8,TSG
PLD1,TSG
MIR486-1,TSG
PHB,TSG
ST20,TSG
RBBP7,TSG
RNF180,TSG
TCF7L2,both
RUNX2,TSG
RUNX3,both
RUNX1,both
BMPR2,TSG
LZTR1,TSG
MIR146B,oncogene
MIR146A,TSG
HRAS,oncogene
SEPT9,oncogene
SEPT4,TSG
SKI,oncogene
SMURF1,oncogene
EMSY,oncogene
JUN,oncogene
MEIS1,oncogene
SYT13,TSG
JUP,both
CDK5R2,oncogene
ZFAS1,both
RBM38,TSG
EPHB2,TSG
EPHB3,TSG
PLCB3,TSG
EPHB6,TSG
EPHB4,TSG
PARP1,TSG
TP53INP1,TSG
SCUBE2,TSG
ESR2,TSG
MIR1-2,TSG
GSTT1,TSG
ESR1,both
CD274,TSG
